Channels,UpNode,DownNode,OceanOrient,BendFlag,EffLength,RadCurv,Curvature,BendDir
444,338,339,1,1,7199.385135,3486.012123,2.065220912,-1
445,339,327,1,1,5666.056142,3973.365465,1.426009309,-1
446,340,341,1,1,7994.968892,2715.947479,2.943712628,-1
447,341,342,1,1,10047.23478,6354.214286,1.581192313,-1
448,342,343,1,1,7891.620957,1686.237816,4.680016593,-1
449,370,338,1,1,9162.901249,2469.418983,3.710549449,-1
450,369,338,-1,1,6188.853782,5492.088235,1.126867144,-1
451,345,344,-1,1,6815.730405,4171.248293,1.63397859,-1
452,330,345,1,1,11274.03289,5215.24629,2.161745057,-1
453,343,370,1,0,4692,0,0,0
454,416,346,1,1,4421.621941,5723.176943,0.77258173,1
455,347,348,1,1,4649.846164,7817.101404,0.594829966,1
456,348,346,1,1,3643.564245,4360.800869,0.835526399,-1
457,346,336,1,1,4066.255568,2996.148773,1.357160767,1
458,348,349,1,1,7918.488755,26020.38127,0.304318706,-1
459,349,343,1,1,4114.183771,1860.772139,2.211008906,1
460,342,349,1,0,2078,0,0,0
461,417,332,1,1,9168.660517,2525.657077,3.630207997,1
462,353,333,1,1,5931.888964,3201.265705,1.852982386,1
463,419,334,1,1,5868.121702,3006.849157,1.951584997,-1
464,350,332,1,1,5688.901026,3543.638519,1.605384126,1
465,418,353,1,1,5961.291332,3190.294049,1.868571123,-1
466,421,351,1,1,4622.267107,3247.189962,1.423466801,-1
467,334,351,1,1,2857.122939,1176.594892,2.428297929,1
468,351,352,1,1,6678.162826,26359.41513,0.25335019,1
469,352,363,1,1,9475.846114,2932.009597,3.231860539,1
470,422,356,1,1,6479.107045,6630.816108,0.977120605,-1
471,356,355,1,1,10518.38748,3173.758236,3.314174143,-1
472,355,361,1,1,6150.384731,23407.22723,0.262755801,-1
473,344,371,-1,0,3011,0,0,0
474,371,369,-1,1,2964.635295,2010.677968,1.474445606,1
475,424,356,1,1,14370.18396,36981.5119,0.388577514,-1
476,356,357,1,1,7235.289797,4079.006263,1.773787371,1
477,357,355,1,0,3226,0,0,0
478,425,355,1,1,5286.056067,2563.277309,2.062225593,-1
479,423,354,1,1,2877.735153,2419.263935,1.189508557,1
480,354,350,1,1,7155.011392,2533.515337,2.824143706,1
481,426,361,1,1,7424.631851,3467.743605,2.141055596,1
