Position,EpsV
0.001,0.00328897512628492
0.003,0.00328897512628492
0.005,0.00328897512628492
0.007,0.00328897512628492
0.009,0.00328897512628492
0.011,0.00328897512628492
0.013,0.00328897512628492
0.015,0.00328897512628492
0.017,0.00328897512628492
0.019,0.00328897512628492
0.021,0.00328897512628492
0.023,0.00328897512628492
0.025,0.00328897512628492
0.027,0.00328897512628492
0.029,0.00328897512628492
0.031,0.00328897512628492
0.033,0.00328897512628492
0.035,0.00328897512628492
0.037,0.00328897512628492
0.039,0.00328897512628492
0.041,0.00328897512628492
0.043,0.00328897512628492
0.045,0.00328897512628492
0.047,0.00328897512628492
0.049,0.00328897512628492
0.051,0.00328897512628492
0.053,0.00328897512628492
0.055,0.00328897512628492
0.057,0.00328897512628492
0.059,0.00328897512628492
0.061,0.00328897512628492
0.063,0.00328897512628492
0.065,0.00328897512628492
0.067,0.00328897512628492
0.069,0.00328897512628492
0.071,0.00328897512628492
0.073,0.00328897512628492
0.075,0.00328897512628492
0.077,0.00328897512628492
0.079,0.00328897512628492
0.081,0.00328897512628492
0.083,0.00328897512628492
0.085,0.00328897512628492
0.087,0.00328897512628492
0.089,0.00328897512628492
0.091,0.00328897512628492
0.093,0.00328897512628492
0.095,0.00328897512628492
0.097,0.00328897512628492
0.099,0.00328897512628492
0.101,0.00328897512628492
0.103,0.00328897512628492
0.105,0.00328897512628492
0.107,0.00328897512628492
0.109,0.00328897512628492
0.111,0.00328897512628492
0.113,0.00328897512628492
0.115,0.00328897512628492
0.117,0.00328897512628492
0.119,0.00328897512628492
0.121,0.00328897512628492
0.123,0.00328897512628492
0.125,0.00328897512628492
0.127,0.00328897512628492
0.129,0.00328897512628492
0.131,0.00328897512628492
0.133,0.00328897512628492
0.135,0.00328897512628492
0.137,0.00328897512628492
0.139,0.00328897512628492
0.141,0.00328897512628492
0.143,0.00328897512628492
0.145,0.00328897512628492
0.147,0.00328897512628492
0.149,0.00328897512628492
0.151,0.00328897512628492
0.153,0.00328897512628492
0.155,0.00328897512628492
0.157,0.00328897512628492
0.159,0.00328897512628492
0.161,0.00328897512628492
0.163,0.00328897512628492
0.165,0.00328897512628492
0.167,0.00328897512628492
0.169,0.00328897512628492
0.171,0.00328897512628492
0.173,0.00328897512628492
0.175,0.00328897512628492
0.177,0.00328897512628492
0.179,0.00328897512628492
0.181,0.00328897512628492
0.183,0.00328995197977794
0.185,0.00329215760591929
0.187,0.00329557954336866
0.189,0.00330020533078574
0.191,0.00330602250683022
0.193,0.00331301861016181
0.195,0.00332118117944019
0.197,0.00333049775332507
0.199,0.00334095587047613
0.201,0.00335254306955308
0.203,0.00336524688921561
0.205,0.00337905486812341
0.207,0.00339395454493618
0.209,0.00340993345831361
0.211,0.0034269791469154
0.213,0.00344507914940125
0.215,0.00346422100443085
0.217,0.00348439225066389
0.219,0.00350558042676008
0.221,0.0035277730713791
0.223,0.00355071417280329
0.225,0.00357348498512123
0.227,0.00359608562493126
0.229,0.00361851621363623
0.231,0.00364077687691398
0.233,0.00366286774421188
0.235,0.00368478894826505
0.237,0.00370654062463775
0.239,0.00372812291128735
0.241,0.0037495359481503
0.243,0.00377077987674978
0.245,0.00379185483982419
0.247,0.00381276098097594
0.249,0.00383349844434022
0.251,0.00385406737427299
0.253,0.00387446791505764
0.255,0.00389470021062959
0.257,0.00391476440431873
0.259,0.00393466063860849
0.261,0.00395438905491149
0.263,0.00397394979336089
0.265,0.00399334299261706
0.267,0.00401256878968883
0.269,0.00403162731976902
0.271,0.00405051871608334
0.273,0.00406924310975258
0.275,0.00408780062966711
0.277,0.0041061914023735
0.279,0.00412441555197251
0.281,0.00414247320002814
0.283,0.0041603644654871
0.285,0.00417808946460824
0.287,0.00419564831090158
0.289,0.00421304111507639
0.291,0.00423026798499765
0.293,0.00424732902565104
0.295,0.00426422433911529
0.297,0.00428095402454207
0.299,0.00429751817814264
0.301,0.0043139168931811
0.303,0.00433015025997372
0.305,0.004346218365894
0.307,0.0043621212953831
0.309,0.00437785912996533
0.311,0.0043934319482684
0.313,0.00440883982604787
0.315,0.0044240828362159
0.317,0.0044391610488735
0.319,0.00445407453134647
0.321,0.00446882334822437
0.323,0.00448340756140246
0.325,0.00449782723012636
0.327,0.00451208241103897
0.329,0.00452617315822975
0.331,0.00454009952328581
0.333,0.00455386155534479
0.335,0.00456745930114925
0.337,0.00458089280510246
0.339,0.00459416210932513
0.341,0.00460726725371343
0.343,0.00462020827599747
0.345,0.00463298521180066
0.347,0.00464559809469954
0.349,0.00465804695628373
0.351,0.00467033182621636
0.353,0.00468245273229451
0.355,0.00469440970050951
0.357,0.00470620275510723
0.359,0.00471783191864807
0.361,0.00472929721206659
0.363,0.00474059865473071
0.365,0.00475173626450047
0.367,0.00476271005778604
0.369,0.00477352004960524
0.371,0.00478416625364015
0.373,0.00479464868229312
0.375,0.00480496734674177
0.377,0.00481512225699319
0.379,0.00482511342193713
0.381,0.00483494084939832
0.383,0.00484460454618763
0.385,0.0048541045181523
0.387,0.00486344077022501
0.389,0.00487261330647193
0.391,0.00488162213013963
0.393,0.00489046724370076
0.395,0.00489914864889876
0.397,0.00490766634679127
0.399,0.00491602033779239
0.401,0.00492421062171389
0.403,0.00493223719780512
0.405,0.00494010006479176
0.407,0.00494779922091349
0.409,0.00495533466396047
0.411,0.00496270639130859
0.413,0.00496991439995367
0.415,0.00497695868654448
0.417,0.0049838392474146
0.419,0.00499055607861326
0.421,0.00499710917593504
0.423,0.00500349853494851
0.425,0.00500972415102372
0.427,0.00501578601935877
0.429,0.0050216841350053
0.431,0.00502741849289289
0.433,0.00503298908785268
0.435,0.00503839591463981
0.437,0.00504363896795502
0.439,0.00504871824246528
0.441,0.00505363373282362
0.443,0.0050583854336879
0.445,0.00506297333973892
0.447,0.00506739744569747
0.449,0.00507165774634078
0.451,0.00507575423651799
0.453,0.00507968691116497
0.455,0.00508345576531832
0.457,0.00508706079412865
0.459,0.00509050199287311
0.461,0.0050937793569673
0.463,0.00509689288197646
0.465,0.00509984256362594
0.467,0.00510262839781116
0.469,0.0051052503806068
0.471,0.00510770850827547
0.473,0.0051100027772758
0.475,0.0051121331842698
0.477,0.00511409972612995
0.479,0.0051159023999454
0.481,0.00511754120302791
0.483,0.00511901613291706
0.485,0.00512032718738513
0.487,0.00512147436444124
0.489,0.00512245766233521
0.491,0.00512327707956085
0.493,0.00512393261485877
0.495,0.00512442426721866
0.497,0.00512475203588115
0.499,0.00512491592033925
0.501,0.00512491592033919
0.503,0.00512475203588101
0.505,0.00512442426721845
0.507,0.0051239326148585
0.509,0.00512327707956052
0.511,0.00512245766233481
0.513,0.00512147436444078
0.515,0.00512032718738463
0.517,0.00511901613291652
0.519,0.00511754120302733
0.521,0.00511590239994485
0.523,0.00511409972612943
0.525,0.00511213318426933
0.527,0.00511000277727536
0.529,0.0051077085082751
0.531,0.00510525038060645
0.533,0.00510262839781082
0.535,0.00509984256362559
0.537,0.0050968928819761
0.539,0.00509377935696695
0.541,0.00509050199287276
0.543,0.00508706079412834
0.545,0.00508345576531806
0.547,0.00507968691116476
0.549,0.00507575423651782
0.551,0.00507165774634064
0.553,0.00506739744569736
0.555,0.00506297333973884
0.557,0.00505838543368785
